T_max,disp_max,sigma_vm_max,J_in,h_conv,mat_left,mat_right
300.30686577680825,8.822079035518493e-08,95822.00905132497,1000000.0,30,Fe,Cu
301.4245651810175,2.51187175293582e-07,442681.28548023436,1000000.0,30,Fe,Fe
301.1573084919989,2.2375431103364645e-07,397250.92947655986,1000000.0,30,Fe,Ni
300.4140943977755,2.1240488949907398e-07,271696.50742588233,1000000.0,30,Ni,Al
300.22594443758857,6.106043816120787e-08,72975.77460497244,1000000.0,30,Ni,Cu
301.1573096316275,2.2377748401214385e-07,373085.0486029212,1000000.0,30,Ni,Fe
300.9134663073336,1.7569729597411727e-07,325852.10383625363,1000000.0,30,Ni,Ni
300.16775221890083,6.03836040315194e-08,39318.65720489401,1000000.0,50,Al,Al
300.09208908401956,4.142185606457488e-08,26086.030674615657,1000000.0,50,Al,Cu
300.53358056148966,2.900936531374727e-07,455918.30687246803,1000000.0,50,Al,Fe
300.4003000658213,2.0611674190231895e-07,323417.05304340954,1000000.0,50,Al,Ni
300.09208931468993,4.141616378593025e-08,22064.41826915199,1000000.0,50,Cu,Al
300.0520715133485,1.3344452429604328e-08,13901.317526034423,1000000.0,50,Cu,Cu
300.300319018387,8.652061118947522e-08,116247.13516242662,1000000.0,50,Cu,Fe
300.2212384621769,5.991489975411774e-08,80568.83628473809,1000000.0,50,Cu,Ni
300.5335790172285,2.9004649852034714e-07,370844.026016842,1000000.0,50,Fe,Al
300.3003173782599,8.650662596503532e-08,93796.11171320453,1000000.0,50,Fe,Cu
301.34507170211344,2.3827746092612744e-07,423969.21334865136,1000000.0,50,Fe,Fe
301.0957966111171,2.1284197876709352e-07,381235.8159259368,1000000.0,50,Fe,Ni
300.4002990497053,2.0608366567308873e-07,262720.13715711585,1000000.0,50,Ni,Al
300.2212373411291,5.99058806474151e-08,71916.13601931468,1000000.0,50,Ni,Cu
301.0957974434878,2.1286396771182593e-07,358179.8897220205,1000000.0,50,Ni,Fe
300.86747443197737,1.675478399565864e-07,313404.02774625836,1000000.0,50,Ni,Ni
300.1581382378889,5.719246440821389e-08,37601.88143996992,1000000.0,100,Al,Al
300.08838216861056,3.995609187077895e-08,25037.08250655957,1000000.0,100,Al,Cu
300.4912078235655,2.694150815905774e-07,419880.00920396246,1000000.0,100,Al,Fe
300.3694880354613,1.9191330817308513e-07,298627.7391630335,1000000.0,100,Al,Ni
300.08838232947073,3.995061361571321e-08,21408.446789663514,1000000.0,100,Cu,Al
300.05049633458566,1.2971978836779554e-08,13579.560831997547,1000000.0,100,Cu,Cu
300.2851307190894,8.251707104960753e-08,110398.62826443823,1000000.0,100,Cu,Fe
300.21029589220154,5.72143695729506e-08,77796.12586971211,1000000.0,100,Cu,Ni
300.49120678666634,2.6937136059094693e-07,341527.62942062,1000000.0,100,Fe,Al
300.28512957632864,8.250371016982684e-08,89068.64742122099,1000000.0,100,Fe,Cu
301.1796688093305,2.1130275496297477e-07,384727.46509245003,1000000.0,100,Fe,Fe
300.966883681716,1.8983518709936548e-07,347357.977359568,1000000.0,100,Fe,Ni
300.36948735519655,1.9188256881397594e-07,242579.66531652253,1000000.0,100,Ni,Al
300.2102951341407,5.720574286475482e-08,69433.90607369374,1000000.0,100,Ni,Cu
300.9668841683862,1.898546835182478e-07,326648.469309429,1000000.0,100,Ni,Fe
300.77009388765117,1.5022796687246728e-07,286863.0052385174,1000000.0,100,Ni,Ni
300.1284726881648,4.728808906158123e-08,32246.36408132255,1000000.0,300,Al,Al
300.0761031363061,3.505377279217462e-08,21702.73801997454,1000000.0,300,Al,Cu
300.37253372100685,2.1043885270146905e-07,317605.550795828,1000000.0,300,Al,Fe
300.28226788976866,1.5102279486897924e-07,227593.2888314386,1000000.0,300,Al,Ni
